"x","y"
6.98673470877111,7
5.56530505884439,5
1.40139957657084,3
2.85723306238651,5
5.55369009962305,4
0.251311503816396,1
4.66230554971844,6
8.61010685097426,0
2.52501178765669,5
5.80806337296963,2
0.0593325681984425,0
6.9186593987979,5
2.31125046964735,2
8.48532462259755,1
1.53835240751505,1
3.56809314806014,1
5.4520450416021,5
0.0119761377573013,0
3.17824489902705,3
0.172893537674099,1
3.41558025917038,6
3.43438799958676,3
2.32562693301588,3
0.613688277080655,1
4.12376251770183,2
1.85512177180499,2
4.10672063706443,5
1.40080855693668,1
0.0543451681733131,0
6.0173881566152,7
9.1101012728177,0
1.75362783949822,4
7.31187413213775,4
0.161572096403688,2
5.86115716258064,2
4.25818428397179,9
2.10490977624431,2
4.77200108347461,8
7.5482327491045,1
4.46829279884696,3
3.71201802045107,7
8.74778404599056,2
4.34597307350487,6
4.40136776538566,3
0.819568333681673,0
0.34619303420186,0
9.28651981754228,1
2.94566297205165,2
5.19224287476391,5
2.36396424937993,2
